OCC_TITLE,ANNUAL_MEAN,A_PCT10,A_PCT25,A_PCT75
Forest Fire Inspectors and Prevention Specialists,54340,30000,33000,67210
Law Enforcement Workers,66370,37330,47310,79710
"Bailiffs, Correctional Officers, and Jailers",53380,34130,38500,62980
Bailiffs,52340,27560,37420,63160
Correctional Officers and Jailers,53420,34600,38590,62940
Detectives and Criminal Investigators,90370,48040,61600,106540
Fish and Game Wardens,58190,31200,47260,71530
Parking Enforcement Workers,46050,29030,34550,58850
Police Officers,70740,40190,50630,81850
Police and Sheriff's Patrol Officers,70750,40190,50630,81850
Transit and Railroad Police,69570,47310,51130,81430
Other Protective Service Workers,36280,22920,28700,39540
Animal Control Workers,42620,28690,31590,49600
Private Detectives and Investigators,60970,32130,40290,77540
Security Guards and Gambling Surveillance Officers,35860,23260,28890,39170
Gambling Surveillance Officers and Gambling Investigators,38080,27970,29470,39790
Security Guards,35830,23250,28890,39170
Miscellaneous Protective Service Workers,35450,22040,26630,40980
Crossing Guards and Flaggers,35670,23990,28660,39160
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",27320,19180,22140,29820
Transportation Security Screeners,46380,39330,41560,49360
School Bus Monitors,30220,20600,24900,34430
"Protective Service Workers, All Other",42160,28690,31190,47760
Food Preparation and Serving Related Occupations,29450,18480,22500,31300
Supervisors of Food Preparation and Serving Workers,41130,24290,29690,48450
Chefs and Head Cooks,56920,30910,39130,65340
First-Line Supervisors of Food Preparation and Serving Workers,39150,24100,29430,46840
Cooks and Food Preparation Workers,29380,19760,23450,33130
Cooks,29560,19930,23420,34260
"Cooks, Fast Food",25490,18050,21610,29510
"Cooks, Institution and Cafeteria",31520,22140,24500,36760
"Cooks, Private Household",43260,29010,30160,51260
"Cooks, Restaurant",31630,22550,27810,36480
"Cooks, Short Order",28110,19050,22880,31050
"Cooks, All Other",33390,22310,27380,37280
Food Preparation Workers,28810,19520,23520,31340
Food and Beverage Serving Workers,27520,18080,21420,30040
Bartenders,30340,17870,20560,34120
Fast Food and Counter Workers,26060,18230,21970,29680
Waiters and Waitresses,29010,17840,20020,30850
"Food Servers, Nonrestaurant",29500,20940,23970,31670
Other Food Preparation and Serving Related Workers,27170,18510,22320,30140
Dining Room and Cafeteria Attendants and Bartender Helpers,27690,18430,22240,30280
Dishwashers,27350,19200,22920,30160
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",26000,18160,21750,29450
Miscellaneous Food Preparation and Serving Related Workers,28760,19100,23660,31390
"Food Preparation and Serving Related Workers, All Other",28760,19100,23660,31390
Building and Grounds Cleaning and Maintenance Occupations,33750,22660,27180,37840
Supervisors of Building and Grounds Cleaning and Maintenance Workers,48620,29940,36750,59670
First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,48620,29940,36750,59670
First-Line Supervisors of Housekeeping and Janitorial Workers,45100,28980,33710,50440
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",53270,34600,38880,62200
Building Cleaning and Pest Control Workers,31590,22290,24300,36380
Building Cleaning Workers,31310,22270,24170,36120
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",31860,22340,24550,36730
Maids and Housekeeping Cleaners,29580,21820,23470,30960
"Building Cleaning Workers, All Other",38530,23130,28510,45610
Pest Control Workers,40640,28620,30520,46700
Grounds Maintenance Workers,35960,24300,29470,38450
Landscaping and Groundskeeping Workers,35240,24170,29360,38100
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",40500,28820,33580,46240
Tree Trimmers and Pruners,47450,30180,38110,58160
"Grounds Maintenance Workers, All Other",39120,27720,30150,45810
Personal Care and Service Occupations,33620,19810,23560,37540
Supervisors of Personal Care and Service Workers,46950,28820,34330,58330
First-Line Supervisors of Entertainment and Recreation Workers,48370,28830,35270,60400
First-Line Supervisors of Gambling Services Workers,52590,29920,38960,61640
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",47130,28520,31560,58650
First-Line Supervisors of Personal Service Workers,45730,28700,33710,50860
Animal Care and Service Workers,30100,21480,23260,33300
Animal Trainers,38230,23160,28110,44630
Animal Caretakers,29520,21380,23160,31130
Entertainment Attendants and Related Workers,27170,18010,21420,29760
Gambling Services Workers,29340,17930,18930,30320
Gambling Dealers,28960,17740,18600,29990
Gambling and Sports Book Writers and Runners,29110,19230,22910,33020
"Gambling Service Workers, All Other",31790,21340,23080,35510
Motion Picture Projectionists,32970,22290,24960,37450
"Ushers, Lobby Attendants, and Ticket Takers",26390,17990,20650,29750
Miscellaneous Entertainment Attendants and Related Workers,26650,18080,21800,29640
Amusement and Recreation Attendants,26110,18030,21700,29480
Costume Attendants,54590,26950,31380,76940
"Locker Room, Coatroom, and Dressing Room Attendants",30220,19210,23220,33300
"Entertainment Attendants and Related Workers, All Other",29680,17390,20630,30570
Funeral Service Workers,42800,23350,28780,48890
Embalmers and Crematory Operators,47350,29000,35690,56090
Embalmers,51210,29000,37380,61200
Crematory Operators,39660,28910,31690,44270
Funeral Attendants,31630,22350,24490,35840
"Morticians, Undertakers, and Funeral Arrangers",56360,29640,37880,63820
Personal Appearance Workers,35350,21420,24980,37890
"Barbers, Hairdressers, Hairstylists and Cosmetologists",35980,20920,24040,38910
Barbers,35700,22430,26300,44730
"Hairdressers, Hairstylists, and Cosmetologists",35990,20860,23960,38790
Miscellaneous Personal Appearance Workers,34310,22290,26960,36900
"Makeup Artists, Theatrical and Performance",124380,38070,78850,164560
Manicurists and Pedicurists,30480,22290,26420,31100
Shampooers,25160,18720,22070,28860
Skincare Specialists,41700,23100,29240,47490
"Baggage Porters, Bellhops, and Concierges",34680,22660,28220,38320
Baggage Porters and Bellhops,30040,18520,23320,34790
Concierges,37520,25030,29660,45070
Tour and Travel Guides,33200,20950,24300,37670
Other Personal Care and Service Workers,33260,20650,23710,37430
Childcare Workers,27680,18540,22640,30100
Recreation and Fitness Workers,38340,22290,27390,46910
Exercise Trainers and Group Fitness Instructors,45870,22960,29580,57760
Recreation Workers,32020,21730,24330,36580
Residential Advisors,34950,23260,28820,38750
Miscellaneous Personal Care and Service Workers,30790,22320,28010,34330
"Personal Care and Service Workers, All Other",30790,22320,28010,34330
Sales and Related Occupations,46080,22330,26870,48980
Supervisors of Sales Workers,54880,29220,36360,61450
First-Line Supervisors of Sales Workers,54880,29220,36360,61450
First-Line Supervisors of Retail Sales Workers,46890,29000,33520,52070
First-Line Supervisors of Non-Retail Sales Workers,92320,47510,61490,107860
Retail Sales Workers,30060,20940,23070,30640
Cashiers,26780,18580,22670,29540
Cashiers,26770,18580,22670,29540
Gambling Change Persons and Booth Cashiers,29130,19020,22860,31080
Counter and Rental Clerks and Parts Salespersons,36480,22900,28580,42370
Counter and Rental Clerks,36170,22880,28660,39040
Parts Salespersons,36920,22940,28530,45340
Retail Salespersons,31920,21840,23500,35110
"Sales Representatives, Services",74770,30460,39540,90100
Advertising Sales Agents,66540,28700,37700,79310
Insurance Sales Agents,69340,29970,38210,78840
"Securities, Commodities, and Financial Services Sales Agents",93260,37970,48100,116240
Travel Agents,46580,28280,31200,54840
"Miscellaneous Sales Representatives, Services",71110,30310,39980,82210
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",71110,30310,39980,82210
"Sales Representatives, Wholesale and Manufacturing",77750,33120,47230,98260
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",102750,44460,61900,130860
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",72390,30620,45800,85610
Other Sales and Related Workers,53580,23280,28560,61090
"Models, Demonstrators, and Product Promoters",39550,23790,29040,41750
Demonstrators and Product Promoters,36990,23870,29040,40130
Real Estate Brokers and Sales Agents,66880,29010,36980,77590
Real Estate Brokers,86490,30470,42920,101000
Real Estate Sales Agents,61480,28270,35880,75940
Sales Engineers,118630,62300,79900,155110
Telemarketers,30670,19470,23470,34480
Miscellaneous Sales and Related Workers,38720,23270,28350,37410
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",34970,20850,23530,36770
"Sales and Related Workers, All Other",38840,23270,28350,37500
Office and Administrative Support Occupations,43430,28010,30180,48490
Supervisors of Office and Administrative Support Workers,63380,37370,47490,76920
First-Line Supervisors of Office and Administrative Support Workers,63380,37370,47490,76920
Communications Equipment Operators,35310,23150,28770,37770
"Switchboard Operators, Including Answering Service",34590,23120,28720,37410
Telephone Operators,39370,23690,29300,47830
Miscellaneous Communications Equipment Operators,49470,29420,37370,60510
"Communications Equipment Operators, All Other",49470,29420,37370,60510
Financial Clerks,43340,29060,35210,48340
Bill and Account Collectors,41280,28820,30420,46970
Billing and Posting Clerks,42750,29760,36650,47700
"Bookkeeping, Accounting, and Auditing Clerks",45140,29120,36750,49760
Gambling Cage Workers,30770,22660,26000,35620
Payroll and Timekeeping Clerks,49560,30240,37880,60050
Procurement Clerks,44930,30080,36890,50450
Tellers,34930,28120,29410,37500
Miscellaneous Financial Clerks,47830,30590,37040,54860
"Financial Clerks, All Other",47830,30590,37040,54860
Information and Record Clerks,38670,24260,29340,46520
Brokerage Clerks,57710,39290,47230,62570
Correspondence Clerks,41710,29420,36750,46960
"Court, Municipal, and License Clerks",44870,29070,36680,48230
"Credit Authorizers, Checkers, and Clerks",44540,29840,36890,48620
Customer Service Representatives,39070,26340,29700,46460
"Eligibility Interviewers, Government Programs",48570,31580,37250,59760
File Clerks,36820,23980,29120,45760
"Hotel, Motel, and Resort Desk Clerks",28040,21440,22910,29700
"Interviewers, Except Eligibility and Loan",38840,28650,30020,46210
"Library Assistants, Clerical",32490,22270,23910,37200
Loan Interviewers and Clerks,44910,29800,37000,49140
New Accounts Clerks,41250,29600,36340,46960
Order Clerks,41820,28730,30040,47700
"Human Resources Assistants, Except Payroll and Timekeeping",44840,29890,37180,49050
Receptionists and Information Clerks,32910,23050,28420,36980
Reservation and Transportation Ticket Agents and Travel Clerks,45630,29110,30690,59770
Miscellaneous Information and Record Clerks,43950,29010,34590,50500
"Information and Record Clerks, All Other",43950,29010,34590,50500
"Material Recording, Scheduling, Dispatching, and Distributing Workers",45710,29180,36070,55390
Cargo and Freight Agents,48420,30020,37020,59380
Couriers and Messengers,34270,23850,28960,37440
Dispatchers,46780,29180,36470,56760
Public Safety Telecommunicators,47030,29340,36890,59360
"Dispatchers, Except Police, Fire, and Ambulance",46650,29120,35590,55340
"Meter Readers, Utilities",47430,28690,32790,60020
Postal Service Workers,53480,38880,39640,65500
Postal Service Clerks,53210,38880,46070,64210
Postal Service Mail Carriers,54370,39640,39640,67230
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",51010,36070,38880,63940
"Production, Planning, and Expediting Clerks",52220,31550,38060,60840
"Shipping, Receiving, and Inventory Clerks",38210,27830,29840,45710
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",39540,28860,30210,46810
Secretaries and Administrative Assistants,45250,28920,34520,49680
Executive Secretaries and Executive Administrative Assistants,66870,38620,48720,78110
Legal Secretaries and Administrative Assistants,52540,29770,37560,61590
Medical Secretaries and Administrative Assistants,39740,29040,30710,46570
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",41080,28200,30210,47570
Other Office and Administrative Support Workers,39480,23870,29630,47010
Data Entry and Information Processing Workers,37590,26000,29650,45980
Data Entry Keyers,35940,24510,29310,39230
Word Processors and Typists,43370,29780,37110,47950
Desktop Publishers,50930,27770,30880,63760
Insurance Claims and Policy Processing Clerks,45790,30010,37200,48860
"Mail Clerks and Mail Machine Operators, Except Postal Service",34390,23430,28990,37500
"Office Clerks, General",38990,23500,29410,46900
"Office Machine Operators, Except Computer",37110,26000,29820,41420
Proofreaders and Copy Markers,46010,29120,34270,57260
Statistical Assistants,53420,34650,38320,62170
Miscellaneous Office and Administrative Support Workers,42580,24960,29800,48590
"Office and Administrative Support Workers, All Other",42580,24960,29800,48590
"Farming, Fishing, and Forestry Occupations",34730,26990,29120,37140
"Supervisors of Farming, Fishing, and Forestry Workers",54450,32400,38350,63020
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",54450,32400,38350,63020
Agricultural Workers,32450,26000,29120,34790
Agricultural Inspectors,47430,29990,35610,56850
Animal Breeders,43270,22680,29630,58860
"Graders and Sorters, Agricultural Products",30400,23170,28430,31600
Miscellaneous Agricultural Workers,31980,26190,29120,34020
Agricultural Equipment Operators,36280,25490,29540,40330
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",31440,28230,29120,31320
"Farmworkers, Farm, Ranch, and Aquacultural Animals",32150,21840,25880,36960
"Agricultural Workers, All Other",37190,21980,29060,44220
"Forest, Conservation, and Logging Workers",43320,28490,30810,48550
Forest and Conservation Workers,33690,25850,29510,36830
Logging Workers,45000,28810,35980,49830
Fallers,53760,28010,36560,62200
Logging Equipment Operators,43960,28810,35890,48770
Log Graders and Scalers,41520,28830,32230,47760
"Logging Workers, All Other",45430,28270,36190,51400
Construction and Extraction Occupations,55900,30080,37680,63960
Supervisors of Construction and Extraction Workers,75060,47330,58000,92150
First-Line Supervisors of Construction Trades and Extraction Workers,75060,47330,58000,92150
Construction Trades Workers,54140,29970,37500,62010
Boilermakers,69070,46040,56430,79320
"Brickmasons, Blockmasons, and Stonemasons",59870,36750,46680,74750
Brickmasons and Blockmasons,61430,37100,47110,76070
Stonemasons,50170,30180,37790,59380
Carpenters,55190,31880,38240,61980
"Carpet, Floor, and Tile Installers and Finishers",51890,29650,37020,61020
Carpet Installers,48710,29090,36310,59770
"Floor Layers, Except Carpet, Wood, and Hard Tiles",53880,29840,37330,66510
Floor Sanders and Finishers,44380,28340,30250,48040
Tile and Stone Setters,53330,30070,37620,61020
"Cement Masons, Concrete Finishers, and Terrazzo Workers",51000,31690,37840,59770
Cement Masons and Concrete Finishers,50900,31610,37840,59690
Terrazzo Workers and Finishers,58380,36810,38960,69790
Construction Laborers,44130,28820,30780,48040
Construction Equipment Operators,55890,35770,38340,62370
"Paving, Surfacing, and Tamping Equipment Operators",50590,30220,37630,59650
Pile Driver Operators,75950,38170,48950,96360
Operating Engineers and Other Construction Equipment Operators,56280,36150,38570,62690
"Drywall Installers, Ceiling Tile Installers, and Tapers",56160,31260,38240,63570
Drywall and Ceiling Tile Installers,54810,30460,38000,61980
Tapers,65140,37980,48040,79080
Electricians,63310,37020,46900,77350
Glaziers,51950,30470,37630,60150
Insulation Workers,50300,29700,36990,59130
"Insulation Workers, Floor, Ceiling, and Wall",44810,29120,34200,48850
"Insulation Workers, Mechanical",56260,35970,38540,62010
Painters and Paperhangers,47180,29770,36930,53830
"Painters, Construction and Maintenance",47140,29770,36920,53310
Paperhangers,51560,29590,37670,60420
"Pipelayers, Plumbers, Pipefitters, and Steamfitters",62250,36290,45640,77200
Pipelayers,48510,30000,36910,59240
"Plumbers, Pipefitters, and Steamfitters",63350,36700,46590,77890
Plasterers and Stucco Masons,54810,30160,37860,61170
Reinforcing Iron and Rebar Workers,58960,36930,45190,73490
Roofers,48890,29870,37190,59480
Sheet Metal Workers,58760,34450,39200,74920
Structural Iron and Steel Workers,61270,36610,45670,76920
Solar Photovoltaic Installers,50710,36320,37990,59010
"Helpers, Construction Trades",37340,27660,29630,41800
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",43370,29280,33300,47430
Helpers--Carpenters,37340,28080,29750,43790
Helpers--Electricians,36720,27680,29630,39350
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",35270,27040,29400,37970
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",36350,27410,29260,38420
Helpers--Roofers,36000,25890,29650,38550
"Helpers, Construction Trades, All Other",37610,26620,29660,43480
Other Construction and Related Workers,54670,29860,37500,61950
Construction and Building Inspectors,68480,38110,48360,78940
Elevator and Escalator Installers and Repairers,91320,47370,62190,117350
Fence Erectors,41140,28830,31920,46550
Hazardous Materials Removal Workers,49280,30110,37070,59400
Highway Maintenance Workers,44340,29130,36700,48500
Rail-Track Laying and Maintenance Equipment Operators,60770,37620,48070,77560
Septic Tank Servicers and Sewer Pipe Cleaners,45390,29310,36240,49850
Miscellaneous Construction and Related Workers,45370,29350,35090,49860
Extraction Workers,51900,31950,37730,60900
"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",56460,35020,38410,65410
"Derrick Operators, Oil and Gas",52140,36460,38270,61020
"Rotary Drill Operators, Oil and Gas",61840,36890,46940,76990
"Service Unit Operators, Oil and Gas",55660,32700,37990,62370
Surface Mining Machine Operators and Earth Drillers,51000,35410,38050,59380
"Excavating and Loading Machine and Dragline Operators, Surface Mining",49850,34180,37790,58840
"Earth Drillers, Except Oil and Gas",53600,36910,43780,60830
"Explosives Workers, Ordnance Handling Experts, and Blasters",57070,36880,45610,65850
Underground Mining Machine Operators,57920,38490,47530,61930
Continuous Mining Machine Operators,57430,38050,47370,61690
"Roof Bolters, Mining",59170,46840,47610,62000
"Loading and Moving Machine Operators, Underground Mining",57330,38000,47060,61030
"Underground Mining Machine Operators, All Other",60290,41480,48940,62890
"Rock Splitters, Quarry",41630,28830,30120,47530
"Roustabouts, Oil and Gas",44730,29460,36660,47790
Helpers--Extraction Workers,40860,29400,34600,46740
Miscellaneous Extraction Workers,50960,30900,37900,59790
"Extraction Workers, All Other",50960,30900,37900,59790
"Installation, Maintenance, and Repair Occupations",53380,29540,37280,62000
"Supervisors of Installation, Maintenance, and Repair Workers",73590,43800,51980,91390
"First-Line Supervisors of Mechanics, Installers, and Repairers",73590,43800,51980,91390
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",57260,31020,38880,72920
"Computer, Automated Teller, and Office Machine Repairers",44170,29010,34640,50440
Radio and Telecommunications Equipment Installers and Repairers,60510,36450,47040,76490
"Radio, Cellular, and Tower Equipment Installers and Repairers",62500,36900,47230,77800
"Telecommunications Equipment Installers and Repairers, Except Line Installers",60350,36360,47040,76490
"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",59590,34770,43680,75840
Avionics Technicians,69860,38700,56960,80690
"Electric Motor, Power Tool, and Related Repairers",48740,29920,37360,58970
"Electrical and Electronics Installers and Repairers, Transportation Equipment",70650,45530,59870,80900
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",64230,37800,48420,76600
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",87640,59540,76140,101680
"Electronic Equipment Installers and Repairers, Motor Vehicles",43690,29110,36260,48670
Audiovisual Equipment Installers and Repairers,46120,29460,36490,54150
Security and Fire Alarm Systems Installers,52170,30490,38110,60830
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",50400,29170,36870,60550
Aircraft Mechanics and Service Technicians,69470,38270,50330,79540
Automotive Technicians and Repairers,48310,29060,36290,59860
Automotive Body and Related Repairers,50660,29660,37360,59930
Automotive Glass Installers and Repairers,40690,28470,31370,47090
Automotive Service Technicians and Mechanics,47990,29010,35680,59950
Bus and Truck Mechanics and Diesel Engine Specialists,53020,35730,41600,61050
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,55900,36900,45920,62740
Farm Equipment Mechanics and Service Technicians,47250,30010,37280,58840
"Mobile Heavy Equipment Mechanics, Except Engines",57280,37290,47020,63450
Rail Car Repairers,60400,37430,47200,77150
Small Engine Mechanics,42690,28600,31600,48280
Motorboat Mechanics and Service Technicians,46660,29260,36730,56550
Motorcycle Mechanics,41970,27890,30320,48060
Outdoor Power Equipment and Other Small Engine Mechanics,40360,28120,30400,47000
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",34340,23400,28530,37220
Bicycle Repairers,34360,24960,29120,37920
Recreational Vehicle Service Technicians,44930,29080,36100,49660
Tire Repairers and Changers,32520,23120,28260,36490
"Other Installation, Maintenance, and Repair Occupations",50730,29350,36960,60610
Control and Valve Installers and Repairers,59860,34570,40470,76920
Mechanical Door Repairers,45520,29780,36820,51440
"Control and Valve Installers and Repairers, Except Mechanical Door",67310,37590,47840,80680
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",54690,34320,38450,62000
Home Appliance Repairers,45340,28450,34920,53890
"Industrial Machinery Installation, Repair, and Maintenance Workers",58350,37260,47110,66320
Industrial Machinery Mechanics,58780,37370,47260,67460
"Maintenance Workers, Machinery",53570,35010,40540,61250
Millwrights,61260,37860,47540,76110
"Refractory Materials Repairers, Except Brickmasons",54760,36780,46980,62760
Line Installers and Repairers,71500,37800,48140,96000
Electrical Power-Line Installers and Repairers,79060,46200,60480,99000
Telecommunications Line Installers and Repairers,62250,37140,43570,78960
Precision Instrument and Equipment Repairers,54870,30030,37820,64560
Camera and Photographic Equipment Repairers,44260,28380,32760,48510
Medical Equipment Repairers,56420,31280,38250,69920
Musical Instrument Repairers and Tuners,39740,24420,29220,46700
Watch and Clock Repairers,45460,23420,29300,55530
"Precision Instrument and Equipment Repairers, All Other",59070,37070,46650,71680
"Maintenance and Repair Workers, General",44920,28910,34270,53900
Wind Turbine Service Technicians,58580,46420,47040,63930
"Miscellaneous Installation, Maintenance, and Repair Workers",43710,28180,30350,49340
"Coin, Vending, and Amusement Machine Servicers and Repairers",42010,27460,30300,48040
Commercial Divers,82010,37130,47120,115330
Locksmiths and Safe Repairers,47810,29330,36590,59380
Manufactured Building and Mobile Home Installers,35830,25150,29180,38750
Riggers,52100,30630,37820,61090
Signal and Track Switch Repairers,74220,50560,63360,80900
"Helpers--Installation, Maintenance, and Repair Workers",35090,23480,28990,37880
"Installation, Maintenance, and Repair Workers, All Other",45380,29080,34470,53350
Production Occupations,43070,27590,30040,48310
Supervisors of Production Workers,67330,38070,48280,78820
First-Line Supervisors of Production and Operating Workers,67330,38070,48280,78820
Assemblers and Fabricators,39000,27420,29910,46460
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",55380,31820,38870,73470
"Electrical, Electronics, and Electromechanical Assemblers",39740,28820,30140,46880
"Coil Winders, Tapers, and Finishers",42460,29250,33120,47500
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",39630,28820,30120,46770
Engine and Other Machine Assemblers,48110,30280,37610,60020
Structural Metal Fabricators and Fitters,45730,30090,37180,49470
Fiberglass Laminators and Fabricators,40360,29010,30660,47160
Timing Device Assemblers and Adjusters,44670,29680,32120,48010
Miscellaneous Assemblers and Fabricators,37780,26160,29710,45130
Food Processing Workers,33830,23280,28790,37550
Bakers,32300,22820,27660,36930
"Butchers and Other Meat, Poultry, and Fish Processing Workers",33360,23350,28860,37450
Butchers and Meat Cutters,35670,23420,29120,38990
"Meat, Poultry, and Fish Cutters and Trimmers",31680,23190,28470,36920
Slaughterers and Meat Packers,32010,23750,29090,36870
Miscellaneous Food Processing Workers,35630,23790,29210,38930
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",36280,23480,29060,43380
Food Batchmakers,36190,23590,29160,44170
Food Cooking Machine Operators and Tenders,35430,23890,29470,38580
"Food Processing Workers, All Other",33600,23840,29210,36990
Metal Workers and Plastic Workers,44840,29530,36100,49610
"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",42710,29620,35310,47950
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",40520,29190,31900,47330
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",44410,29840,36750,49190
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",46210,30220,37610,56140
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",40740,29120,31030,47440
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",40000,29010,30520,47160
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",43240,29820,33980,47970
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",40030,29120,30500,47150
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",44270,29720,36750,48920
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",47100,30060,37370,56500
Machinists,49020,30220,37770,60040
"Metal Furnace Operators, Tenders, Pourers, and Casters",45990,30030,37030,56150
Metal-Refining Furnace Operators and Tenders,46440,30060,37200,58240
"Pourers and Casters, Metal",44910,30010,36750,50480
"Model Makers and Patternmakers, Metal and Plastic",55740,31560,38700,72680
"Model Makers, Metal and Plastic",59080,36900,43480,76920
"Patternmakers, Metal and Plastic",49840,30120,37710,60660
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",37720,27200,29610,45410
Foundry Mold and Coremakers,39980,28810,30590,47440
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",37530,27070,29570,44810
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",40830,28560,30280,47500
Tool and Die Makers,56150,36900,46720,63430
"Welding, Soldering, and Brazing Workers",47910,30760,37750,56000
"Welders, Cutters, Solderers, and Brazers",48290,31350,37860,56850
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",42950,30010,36020,48290
Miscellaneous Metal Workers and Plastic Workers,40940,28950,30280,47440
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",41560,29110,31890,47940
"Layout Workers, Metal and Plastic",52340,32380,39460,61620
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",38580,28820,30120,45760
"Tool Grinders, Filers, and Sharpeners",43660,29010,34330,48980
"Metal Workers and Plastic Workers, All Other",39480,28820,30070,45920
Printing Workers,40660,27400,30070,47500
Prepress Technicians and Workers,43800,29110,34180,48960
Printing Press Operators,41120,27890,30160,47640
Print Binding and Finishing Workers,37060,23840,29610,45820
"Textile, Apparel, and Furnishings Workers",31210,22190,24440,36220
Laundry and Dry-Cleaning Workers,27830,20740,23040,29820
"Pressers, Textile, Garment, and Related Materials",28110,21580,23290,29820
Sewing Machine Operators,30880,22290,26120,36100
Shoe and Leather Workers,32950,22380,27210,36920
Shoe and Leather Workers and Repairers,34890,23360,28350,38100
Shoe Machine Operators and Tenders,29920,20970,23440,34490
"Tailors, Dressmakers, and Sewers",34630,22150,27570,37920
"Sewers, Hand",31350,22290,26330,36530
"Tailors, Dressmakers, and Custom Sewers",35430,22070,27900,38660
"Textile Machine Setters, Operators, and Tenders",33110,23710,28860,36990
Textile Bleaching and Dyeing Machine Operators and Tenders,31940,23140,28350,36670
"Textile Cutting Machine Setters, Operators, and Tenders",33100,23010,28350,37150
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",33640,23720,29030,37170
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",33050,26060,29020,36990
"Miscellaneous Textile, Apparel, and Furnishings Workers",39050,23860,29630,46560
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",40600,29030,30750,47440
Fabric and Apparel Patternmakers,64070,29500,37630,79540
Upholsterers,38220,23700,29750,46210
"Textile, Apparel, and Furnishings Workers, All Other",32840,22990,27520,37080
Woodworkers,37520,24440,29580,45190
Cabinetmakers and Bench Carpenters,40070,28200,30070,47160
Furniture Finishers,37310,26200,29610,44520
"Model Makers and Patternmakers, Wood",56560,36410,39150,73110
"Model Makers, Wood",60040,37070,46910,75940
"Patternmakers, Wood",51020,30070,37710,62680
"Woodworking Machine Setters, Operators, and Tenders",35450,23750,29260,38140
"Sawing Machine Setters, Operators, and Tenders, Wood",35280,23430,29120,38090
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",35560,23960,29390,38190
Miscellaneous Woodworkers,36080,23700,29120,41550
"Woodworkers, All Other",36080,23700,29120,41550
Plant and System Operators,66210,36750,47130,80390
"Power Plant Operators, Distributors, and Dispatchers",89410,49680,75120,102940
Nuclear Power Reactor Operators,111220,79720,98390,126950
Power Distributors and Dispatchers,95520,61670,79270,109180
Power Plant Operators,83740,48610,62890,100340
Stationary Engineers and Boiler Operators,70510,44260,49760,80730
