OCC_TITLE,ANNUAL_MEAN,A_PCT10,A_PCT25,A_PCT75
Surveyors,68880,37360,47690,79600
Engineers,104000,61000,77470,127110
Aerospace Engineers,122970,77440,96130,152950
Agricultural Engineers,87350,55810,61740,99880
Bioengineers and Biomedical Engineers,101020,60680,75780,123400
Chemical Engineers,121840,62730,80140,139310
Civil Engineers,95490,60550,74250,117270
Computer Hardware Engineers,136230,77100,99880,164930
Electrical and Electronics Engineers,110670,63180,79610,130280
Electrical Engineers,107890,62360,78500,128560
"Electronics Engineers, Except Computer",115490,73630,81500,133320
Environmental Engineers,100220,59820,74850,126190
"Industrial Engineers, Including Health and Safety",95520,60750,76650,109050
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",99700,58490,76650,126780
Industrial Engineers,95200,60850,76650,105530
Marine Engineers and Naval Architects,97820,56550,76600,118610
Materials Engineers,101950,60580,76650,127110
Mechanical Engineers,97000,60750,76050,120180
"Mining and Geological Engineers, Including Mining Safety Engineers",100450,48690,70110,127530
Nuclear Engineers,121760,75460,93840,136240
Petroleum Engineers,145720,78390,100880,167750
Miscellaneous Engineers,107800,58730,77560,130650
"Engineers, All Other",107800,58730,77560,130650
"Drafters, Engineering Technicians, and Mapping Technicians",62420,37100,47090,76600
Drafters,61680,37390,47370,75800
Architectural and Civil Drafters,60620,37370,47450,74940
Electrical and Electronics Drafters,67090,38120,48460,78700
Mechanical Drafters,62650,37590,47230,76150
"Drafters, All Other",58330,36900,46150,67880
"Engineering Technologists and Technicians, Except Drafters",64600,37440,47490,77380
Aerospace Engineering and Operations Technologists and Technicians,73510,47040,57780,94530
Civil Engineering Technologists and Technicians,58000,36550,42110,73280
Electrical and Electronic Engineering Technologists and Technicians,69070,39840,49330,79080
Electro-Mechanical and Mechatronics Technologists and Technicians,63880,37650,47680,76920
Environmental Engineering Technologists and Technicians,56590,35870,37850,66870
Industrial Engineering Technologists and Technicians,61230,37790,47410,75600
Mechanical Engineering Technologists and Technicians,63390,37670,47700,76600
Calibration Technologists and Technicians,62800,36930,47110,76920
"Engineering Technologists and Technicians, Except Drafters, All Other",68290,37530,47690,81490
Surveying and Mapping Technicians,49810,29770,36960,59790
"Life, Physical, and Social Science Occupations",80730,37830,49460,100230
Life Scientists,93190,48510,62130,115970
Agricultural and Food Scientists,79970,44160,54060,98910
Animal Scientists,80390,46930,52430,89610
Food Scientists and Technologists,84150,45010,60130,101180
Soil and Plant Scientists,76290,39980,50230,93770
Biological Scientists,93970,48550,62470,118210
Biochemists and Biophysicists,113460,61090,79000,132390
Microbiologists,87820,47630,59860,110010
Zoologists and Wildlife Biologists,70300,42420,50520,81690
"Biological Scientists, All Other",90010,48260,62490,104210
Conservation Scientists and Foresters,68080,39430,49930,80910
Conservation Scientists,68230,38670,49340,81500
Foresters,67710,43280,50510,79530
Medical Scientists,102830,50100,62800,129450
Epidemiologists,86740,50100,62350,101600
"Medical Scientists, Except Epidemiologists",104050,50100,62800,130090
Miscellaneous Life Scientists,94430,48620,61830,113400
"Life Scientists, All Other",94430,48620,61830,113400
Physical Scientists,96340,48410,62220,121560
Astronomers and Physicists,150510,77020,105120,181430
Astronomers,139410,61910,80110,172490
Physicists,151580,78870,107030,184280
Atmospheric and Space Scientists,96880,48600,65110,119770
Chemists and Materials Scientists,90330,48330,61880,113140
Chemists,89130,48100,61540,107140
Materials Scientists,104790,56380,77500,130400
Environmental Scientists and Geoscientists,86980,47370,60260,102250
"Environmental Scientists and Specialists, Including Health",81240,46200,58200,99090
"Geoscientists, Except Hydrologists and Geographers",103550,48880,62540,128920
Hydrologists,94780,51120,64670,106440
Miscellaneous Physical Scientists,113220,52060,78320,141540
"Physical Scientists, All Other",113220,52060,78320,141540
Social Scientists and Related Workers,90810,48010,62070,105530
Economists,120830,62460,79760,151110
Survey Researchers,64690,26360,38840,78560
Psychologists,92100,47850,62170,107090
Industrial-Organizational Psychologists,113320,63750,79590,135070
Clinical and Counseling Psychologists,99640,47010,62040,126590
School Psychologists,82770,49260,62070,100040
"Psychologists, All Other",98010,39760,73910,120240
Sociologists,96260,60770,65530,114300
Urban and Regional Planners,81310,48720,61880,99090
Miscellaneous Social Scientists and Related Workers,89840,48330,62470,110550
Anthropologists and Archeologists,66800,37870,48420,78930
Geographers,86740,53410,64740,102060
Historians,72130,37310,48440,92540
Political Scientists,120430,61480,82450,155190
"Social Scientists and Related Workers, All Other",90900,50230,66210,109780
"Life, Physical, and Social Science Technicians",53890,30870,37820,62040
Agricultural and Food Science Technicians,46240,29550,36750,53890
Agricultural Technicians,44850,29010,32160,50860
Food Science Technicians,47870,33710,37650,55260
Biological Technicians,51770,31170,37820,61530
Chemical Technicians,55040,31980,38740,63180
Environmental Science and Geoscience Technicians,53830,30350,37670,61400
"Environmental Science and Protection Technicians, Including Health",50550,30050,37210,59860
"Geological Technicians, Except Hydrologic Technicians",59080,30590,38620,73690
Hydrologic Technicians,71760,38310,46410,84570
Nuclear Technicians,95200,60490,78810,106260
Social Science Research Assistants,56430,31240,44800,61970
Forest and Conservation Technicians,43420,29670,32260,51580
"Miscellaneous Life, Physical, and Social Science Technicians",57880,30770,38710,67000
Forensic Science Technicians,66850,37670,47750,80670
"Life, Physical, and Social Science Technicians, All Other",55420,30240,37830,63180
Occupational Health and Safety Specialists and Technicians,75150,38620,50730,95160
Occupational Health and Safety Specialists,78740,44040,59490,98650
Occupational Health and Safety Technicians,57560,30330,38840,73860
Community and Social Service Occupations,53960,30440,37890,62550
"Counselors, Social Workers, and Other Community and Social Service Specialists",53950,30460,37940,62520
Counselors,56410,31040,38830,63460
"Educational, Guidance, and Career Counselors and Advisors",63090,37550,47390,77210
Marriage and Family Therapists,59660,37050,42910,75410
Rehabilitation Counselors,44740,28890,30610,52920
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",53490,30870,38520,61660
"Counselors, All Other",49730,29490,37060,58090
Social Workers,57880,36520,40000,68730
"Child, Family, and School Social Workers",54880,35820,38900,62560
Healthcare Social Workers,62310,37630,47630,76920
Mental Health and Substance Abuse Social Workers,57800,31010,38630,69260
"Social Workers, All Other",63010,36780,46340,80040
Miscellaneous Community and Social Service Specialists,47380,29030,35080,57660
Health Education Specialists,64930,37020,46770,78220
Probation Officers and Correctional Treatment Specialists,63290,37380,46920,77020
Social and Human Service Assistants,40460,27910,30440,46960
Community Health Workers,47780,30440,36940,59280
"Community and Social Service Specialists, All Other",50510,29520,37170,60300
Religious Workers,54340,29120,37030,62870
Clergy,57230,30450,38800,63560
"Directors, Religious Activities and Education",52880,29030,36440,61480
Miscellaneous Religious Workers,43290,24710,29170,49060
"Religious Workers, All Other",43290,24710,29170,49060
Legal Occupations,113100,38620,58400,156900
"Lawyers, Judges, and Related Workers",144470,60420,80700,186810
Lawyers and Judicial Law Clerks,146220,61060,81180,192160
Lawyers,148030,61400,81620,194580
Judicial Law Clerks,62730,36520,43580,74390
"Judges, Magistrates, and Other Judicial Workers",119690,38720,62400,168020
"Administrative Law Judges, Adjudicators, and Hearing Officers",104160,47580,63850,132490
"Arbitrators, Mediators, and Conciliators",62350,29990,36910,75940
"Judges, Magistrate Judges, and Magistrates",142520,46490,81150,171230
Legal Support Workers,59190,36140,43860,73080
Paralegals and Legal Assistants,58330,36410,45390,72750
Miscellaneous Legal Support Workers,62170,32030,38550,74710
"Title Examiners, Abstractors, and Searchers",52390,30350,37240,61300
"Legal Support Workers, All Other",73000,36090,46070,94520
Educational Instruction and Library Occupations,62140,28320,37110,77150
Postsecondary Teachers,95200,39410,60360,122470
"Business Teachers, Postsecondary",105720,46910,61760,132070
"Math and Computer Science Teachers, Postsecondary",88730,46900,50800,103890
"Computer Science Teachers, Postsecondary",89610,47280,50010,105950
"Mathematical Science Teachers, Postsecondary",87980,45280,60310,103420
"Engineering and Architecture Teachers, Postsecondary",113150,58370,78020,134350
"Architecture Teachers, Postsecondary",98600,48720,64490,124440
"Engineering Teachers, Postsecondary",115590,60380,78130,134760
"Life Sciences Teachers, Postsecondary",98430,48720,62040,123630
"Agricultural Sciences Teachers, Postsecondary",97520,48720,64280,123630
"Biological Science Teachers, Postsecondary",98710,48720,61750,123730
"Forestry and Conservation Science Teachers, Postsecondary",93510,50280,63300,105250
"Physical Sciences Teachers, Postsecondary",97110,49090,62460,123390
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",102840,49730,64030,127670
"Chemistry Teachers, Postsecondary",94060,49330,62060,104270
"Environmental Science Teachers, Postsecondary",92210,47760,62160,105850
"Physics Teachers, Postsecondary",99480,49000,62540,124660
"Social Sciences Teachers, Postsecondary",94340,47470,61610,112550
"Anthropology and Archeology Teachers, Postsecondary",102110,50580,64490,125150
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",91680,45650,61690,103890
"Economics Teachers, Postsecondary",124090,58330,78400,157320
"Geography Teachers, Postsecondary",88150,48960,63600,102720
"Political Science Teachers, Postsecondary",98980,48990,63050,122690
"Psychology Teachers, Postsecondary",88390,43050,60740,102040
"Sociology Teachers, Postsecondary",87850,46870,61420,101010
"Social Sciences Teachers, Postsecondary, All Other",87320,38080,60270,102230
"Health Teachers, Postsecondary",119880,48560,63730,157680
"Health Specialties Teachers, Postsecondary",133310,48890,64630,172680
"Nursing Instructors and Teachers, Postsecondary",82040,47630,61390,98680
"Education and Library Science Teachers, Postsecondary",77260,33580,49080,97450
"Education Teachers, Postsecondary",76990,31200,48780,97450
"Library Science Teachers, Postsecondary",80850,48390,61350,97340
"Law, Criminal Justice, and Social Work Teachers, Postsecondary",97720,39130,60750,125420
